127.0.0.1 - - [01/Apr/2021:13:07:08 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [01/Apr/2021:13:07:08 +0900] "GET /Grass_Farm/Index.jsp HTTP/1.1" 200 2317
0:0:0:0:0:0:0:1 - - [01/Apr/2021:13:07:08 +0900] "GET /Grass_Farm/image/index.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Apr/2021:13:07:08 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Apr/2021:13:07:15 +0900] "POST /Grass_Farm/LoginAction.jsp HTTP/1.1" 200 217
0:0:0:0:0:0:0:1 - - [01/Apr/2021:13:07:15 +0900] "GET /Grass_Farm/main.jsp HTTP/1.1" 200 7208
0:0:0:0:0:0:0:1 - - [01/Apr/2021:13:07:15 +0900] "GET /Grass_Farm/image/%EC%9E%94%EB%94%94%EA%B3%B5%EC%9E%91%EC%86%8C%20logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Apr/2021:13:09:46 +0900] "GET /Grass_Farm/User.jsp HTTP/1.1" 200 8810
0:0:0:0:0:0:0:1 - - [01/Apr/2021:13:09:46 +0900] "GET /Grass_Farm/dist/jquery.calmosaic.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Apr/2021:13:09:46 +0900] "GET /Grass_Farm/dist/jquery.calmosaic.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Apr/2021:13:10:21 +0900] "GET /Grass_Farm/User.jsp HTTP/1.1" 200 8806
0:0:0:0:0:0:0:1 - - [01/Apr/2021:13:10:21 +0900] "GET /Grass_Farm/image/grass_removebg_preview_wIP_icon.ico HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [01/Apr/2021:13:12:55 +0900] "GET /Grass_Farm/User.jsp HTTP/1.1" 500 4629
0:0:0:0:0:0:0:1 - - [01/Apr/2021:13:13:33 +0900] "GET /Grass_Farm/User.jsp HTTP/1.1" 500 4624
0:0:0:0:0:0:0:1 - - [01/Apr/2021:13:13:43 +0900] "GET /Grass_Farm/User.jsp HTTP/1.1" 500 4549
0:0:0:0:0:0:0:1 - - [01/Apr/2021:13:13:49 +0900] "GET /Grass_Farm/User.jsp HTTP/1.1" 500 4539
0:0:0:0:0:0:0:1 - - [01/Apr/2021:13:13:50 +0900] "GET /Grass_Farm/User.jsp HTTP/1.1" 200 8806
0:0:0:0:0:0:0:1 - - [01/Apr/2021:13:13:50 +0900] "GET /Grass_Farm/image/grass_removebg_preview_wIP_icon.ico HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [01/Apr/2021:13:13:53 +0900] "GET /Grass_Farm/User.jsp HTTP/1.1" 200 8806
0:0:0:0:0:0:0:1 - - [01/Apr/2021:13:13:53 +0900] "GET /Grass_Farm/image/grass_removebg_preview_wIP_icon.ico HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [01/Apr/2021:13:13:54 +0900] "GET /Grass_Farm/User.jsp HTTP/1.1" 500 4539
0:0:0:0:0:0:0:1 - - [01/Apr/2021:13:13:54 +0900] "GET /Grass_Farm/User.jsp HTTP/1.1" 200 8806
0:0:0:0:0:0:0:1 - - [01/Apr/2021:13:13:55 +0900] "GET /Grass_Farm/image/grass_removebg_preview_wIP_icon.ico HTTP/1.1" 200 1150
